DEPARTAMENTO;CATEGORIA;PORCENTAJE;SUCURSAL;AÑO
PERSIANAS Y MOSQUITEROS;PERSIANA ROLLER;1,78%;LA GUAIRA;2026
PERSIANAS Y MOSQUITEROS;PERSIANA SHEER;0,48%;LA GUAIRA;2026
PERSIANAS Y MOSQUITEROS;MOSQUITERO ROLLER - MOSQUITERO FIJO;0,14%;LA GUAIRA;2026
PERSIANAS Y MOSQUITEROS;CORTINAS;0,00%;LA GUAIRA;2026
PERSIANAS Y MOSQUITEROS;CORTINAS MOTORIZADAS: TRADICIONAL Y ONDA PERFECTA;0,00%;LA GUAIRA;2026
PERSIANAS Y MOSQUITEROS;TOLDOS;0,00%;LA GUAIRA;2026
LAMINAS;LÁMINAS DE POLICARBONATO;3,61%;LA GUAIRA;2026
LAMINAS;DRYWALL;3,46%;LA GUAIRA;2026
LAMINAS;LAMINAS DE ALUMINIO Y ALUCOBOND;3,50%;LA GUAIRA;2026
LAMINAS;ILUMINACION;0,07%;LA GUAIRA;2026
SERVICIOS;SERVICIO DE CANTO PULIDO;1,12%;LA GUAIRA;2026
SERVICIOS;SERVICIO DE FLETE;0,50%;LA GUAIRA;2026
SERVICIOS;SERVICIO DE CORTE Y MECANIZADO;0,24%;LA GUAIRA;2026
SERVICIOS;CURRIER;0,00%;LA GUAIRA;2026
SERVICIOS;PERFORACIONES DE VIDRIO;0,00%;LA GUAIRA;2026
SERVICIOS;PERFORACIONES;0,01%;LA GUAIRA;2026
PT CON INSTALACION;PT ALUMINIO Y VIDRIO;7,02%;LA GUAIRA;2026
PT CON INSTALACION;PT PERSIANAS;1,01%;LA GUAIRA;2026
PT CON INSTALACION;PT TEMPLADO;1,47%;LA GUAIRA;2026
#N/D;#N/D;0,00%;LA GUAIRA;2026
#N/D;TOLDOS: EXTENSIBLES Y VERTICALES;0,00%;LA GUAIRA;2026
#N/D;GENERAL;0,05%;LA GUAIRA;2026
#N/D;GRANEL;0,43%;LA GUAIRA;2026
#N/D;CONSUMIBLES PARA FABRICACION;0,00%;LA GUAIRA;2026
#N/D;MANTENIMIENTO DE INFRAESTRUCTURA;0,02%;LA GUAIRA;2026
#N/D;PAPELERIA;0,00%;LA GUAIRA;2026
#N/D;TEMPLADO Y MECANIZADO;0,00%;LA GUAIRA;2026
#N/D;ARTILUGIO CONTABLE;0,00%;LA GUAIRA;2026
PAPEL NANO.;PAPEL NANOCERAMICO;0,01%;LA GUAIRA;2026
MUESTRAS Y CATALOGOS;CATALOGOS;0,01%;LA GUAIRA;2026
MUESTRAS Y CATALOGOS;MUESTRAS Y CODOS;0,00%;LA GUAIRA;2026
CARPINTERIA;VITRINA PARA MUEBLES;0,07%;LA GUAIRA;2026
SERVICIOS EXTERNOS;CURRIER;0,00%;LA GUAIRA;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA PANORAMICA;6,83%;GUATIRE;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA CARONI;4,40%;GUATIRE;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA BELGLASS;0,58%;GUATIRE;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA VISTAGLASS;0,60%;GUATIRE;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA CORREDERA SERIE 1000;1,96%;GUATIRE;2026
VENTANAS Y PUERTAS CORREDIZAS;PUERTA DE VITRINA;0,38%;GUATIRE;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA ECOBEL;0,27%;GUATIRE;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA AMPLITUD;0,06%;GUATIRE;2026
VENTANAS ABATIBLES;VENTANA PROYECTANTE COMERCIAL;0,61%;GUATIRE;2026
VENTANAS ABATIBLES;VENTANA PROYECTANTE LONDON;0,26%;GUATIRE;2026
VENTANAS ABATIBLES;VENTANA PIVOTANTE;0,11%;GUATIRE;2026
VENTANAS ABATIBLES;PIVOTANTE;0,00%;GUATIRE;2026
DIVISIONES DE AMBIENTE;PAÑO FIJO;2,70%;GUATIRE;2026
DIVISIONES DE AMBIENTE;ROMANILLA;0,11%;GUATIRE;2026
DIVISIONES DE AMBIENTE;ROMANILLAS;0,00%;GUATIRE;2026
DIVISIONES DE AMBIENTE;CURTAIN WALL JUNTA POSITIVA Y JUNTA NEGATIVA;0,00%;GUATIRE;2026
PERFILES ESTANDAR;ANGULOS Y PLETINAS;5,53%;GUATIRE;2026
PERFILES ESTANDAR;TUBOS RECTANGULARES UES TES Y REMATES;6,42%;GUATIRE;2026
PERFILES ESTANDAR;TUBOS CUADRADOS Y REDONDOS;2,74%;GUATIRE;2026
PRODUCTOS ESTANDAR;VENTANAS ECO;0,47%;GUATIRE;2026
PRODUCTOS ESTANDAR;ESPEJOS ECO;1,53%;GUATIRE;2026
PRODUCTOS ESTANDAR;PUERTAS DE DUCHA ECO;0,21%;GUATIRE;2026
PRODUCTOS ESTANDAR;PUERTAS ECO;0,76%;GUATIRE;2026
PRODUCTOS ESTANDAR;PERSIANAS ECO;0,46%;GUATIRE;2026
PRODUCTOS ESTANDAR;TOLDO ECO;0,07%;GUATIRE;2026
PUERTAS EXTERIORES;PUERTA BATIENTE ENMARCADA;0,95%;GUATIRE;2026
PUERTAS EXTERIORES;PUERTA BANCARIA TIPO P;0,89%;GUATIRE;2026
PUERTAS EXTERIORES;VENTANA Y PUERTA SANARE;0,00%;GUATIRE;2026
PUERTAS INTERIORES;SISTEMA PUERTA TODOVISION;0,17%;GUATIRE;2026
PUERTAS INTERIORES;SISTEMA PUERTA PLEGABLE;0,17%;GUATIRE;2026
PUERTAS INTERIORES;PLEGABLE;0,00%;GUATIRE;2026
PUERTAS INTERIORES;SISTEMA PUERTA TODOVISION SUPERFICIAL;0,05%;GUATIRE;2026
PUERTAS INTERIORES;SISTEMA PUERTA MINI EURO PIVOT;0,01%;GUATIRE;2026
PUERTAS INTERIORES;SISTEMA PUERTA EURO PIVOT;0,00%;GUATIRE;2026
BARANDAS;BARANDA BASTONES A PRESION;0,49%;GUATIRE;2026
BARANDAS;BARANDA SEPARADORES;0,11%;GUATIRE;2026
BARANDAS;BARANDA INOX;0,11%;GUATIRE;2026
BARANDAS;BARANDA ZOCALO;0,00%;GUATIRE;2026
BARANDAS;BARANDA BASTONES PERFORACION;0,00%;GUATIRE;2026
PUERTAS DE BAÑO;PUERTA DE DUCHA  BATIENTE;0,64%;GUATIRE;2026
PUERTAS DE BAÑO;TABIQUE DE BAÑOS MACHIMBRADO;0,78%;GUATIRE;2026
PUERTAS DE BAÑO;PUERTA DE BAÑO TEMPLEX;0,30%;GUATIRE;2026
PUERTAS DE BAÑO;PUERTA DE BAÑO ACRILICO;0,19%;GUATIRE;2026
PUERTAS DE BAÑO;PUERTA DE DUCHA SLIDER TUBO RECTANGULAR;0,37%;GUATIRE;2026
PUERTAS DE BAÑO;PUERTA SLIDER TUBO REDONDO;0,14%;GUATIRE;2026
PUERTAS DE BAÑO;PUERTA DE DUCHA SLIDER TUBO RECTANGULAR PLUS;0,09%;GUATIRE;2026
VIDRIOS;VIDRIO MONOLITICO;20,63%;GUATIRE;2026
VIDRIOS;VIDRIO LAMINADO Y ESPECIALES;1,34%;GUATIRE;2026
SIL Y SELL;SILICONES Y SELLADORES SIMBI;2,31%;GUATIRE;2026
HERRAMIENTAS;HERRAMIENTAS HOTECHE;0,27%;GUATIRE;2026
HERRAMIENTAS;HERRAMIENTAS HARDEN;0,07%;GUATIRE;2026
HERRAMIENTAS;HERRAMIENTAS;0,02%;GUATIRE;2026
IMPULSO;TORNILLOS Y RAMPLUGS;0,32%;GUATIRE;2026
IMPULSO;REMACHES;0,01%;GUATIRE;2026
IMPULSO;MECHAS Y PUNTAS;0,09%;GUATIRE;2026
IMPULSO;SILICONES DE IMPULSO;0,07%;GUATIRE;2026
IMPULSO;REGATONES;0,00%;GUATIRE;2026
IMPULSO;SPRAY;0,02%;GUATIRE;2026
CERRADURAS Y CANDADOS;CERRADURAS Y CANDADO;0,12%;GUATIRE;2026
CERRADURAS Y CANDADOS;CERRADURAS Y CANDADO CISA;0,00%;GUATIRE;2026
PERSIANAS Y MOSQUITEROS;PERSIANA ROLLER;3,96%;GUATIRE;2026
PERSIANAS Y MOSQUITEROS;PERSIANA SHEER;1,56%;GUATIRE;2026
PERSIANAS Y MOSQUITEROS;MOSQUITERO ROLLER - MOSQUITERO FIJO;0,41%;GUATIRE;2026
PERSIANAS Y MOSQUITEROS;CORTINAS;0,00%;GUATIRE;2026
PERSIANAS Y MOSQUITEROS;CORTINAS MOTORIZADAS: TRADICIONAL Y ONDA PERFECTA;0,00%;GUATIRE;2026
PERSIANAS Y MOSQUITEROS;TOLDOS;0,00%;GUATIRE;2026
LAMINAS;LÁMINAS DE POLICARBONATO;4,37%;GUATIRE;2026
LAMINAS;DRYWALL;1,30%;GUATIRE;2026
LAMINAS;LAMINAS DE ALUMINIO Y ALUCOBOND;2,74%;GUATIRE;2026
LAMINAS;ILUMINACION;0,02%;GUATIRE;2026
SERVICIOS;SERVICIO DE CANTO PULIDO;0,23%;GUATIRE;2026
SERVICIOS;SERVICIO DE FLETE;0,41%;GUATIRE;2026
SERVICIOS;SERVICIO DE CORTE Y MECANIZADO;0,23%;GUATIRE;2026
SERVICIOS;CURRIER;0,00%;GUATIRE;2026
SERVICIOS;PERFORACIONES DE VIDRIO;0,00%;GUATIRE;2026
SERVICIOS;PERFORACIONES;0,00%;GUATIRE;2026
PT CON INSTALACION;PT ALUMINIO Y VIDRIO;11,32%;GUATIRE;2026
PT CON INSTALACION;PT PERSIANAS;2,00%;GUATIRE;2026
PT CON INSTALACION;PT TEMPLADO;3,14%;GUATIRE;2026
#N/D;#N/D;0,00%;GUATIRE;2026
#N/D;TOLDOS: EXTENSIBLES Y VERTICALES;0,00%;GUATIRE;2026
#N/D;GENERAL;0,07%;GUATIRE;2026
#N/D;GRANEL;0,22%;GUATIRE;2026
#N/D;CONSUMIBLES PARA FABRICACION;0,00%;GUATIRE;2026
#N/D;MANTENIMIENTO DE INFRAESTRUCTURA;0,00%;GUATIRE;2026
#N/D;PAPELERIA;0,00%;GUATIRE;2026
#N/D;TEMPLADO Y MECANIZADO;0,00%;GUATIRE;2026
#N/D;ARTILUGIO CONTABLE;0,05%;GUATIRE;2026
PAPEL NANO.;PAPEL NANOCERAMICO;0,06%;GUATIRE;2026
MUESTRAS Y CATALOGOS;CATALOGOS;0,01%;GUATIRE;2026
MUESTRAS Y CATALOGOS;MUESTRAS Y CODOS;0,00%;GUATIRE;2026
CARPINTERIA;VITRINA PARA MUEBLES;0,12%;GUATIRE;2026
SERVICIOS EXTERNOS;CURRIER;0,00%;GUATIRE;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA PANORAMICA;6,83%;MARICHE;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA CARONI;4,40%;MARICHE;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA BELGLASS;0,58%;MARICHE;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA VISTAGLASS;0,60%;MARICHE;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA CORREDERA SERIE 1000;1,96%;MARICHE;2026
VENTANAS Y PUERTAS CORREDIZAS;PUERTA DE VITRINA;0,38%;MARICHE;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA ECOBEL;0,27%;MARICHE;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA AMPLITUD;0,06%;MARICHE;2026
VENTANAS ABATIBLES;VENTANA PROYECTANTE COMERCIAL;0,61%;MARICHE;2026
VENTANAS ABATIBLES;VENTANA PROYECTANTE LONDON;0,26%;MARICHE;2026
VENTANAS ABATIBLES;VENTANA PIVOTANTE;0,11%;MARICHE;2026
VENTANAS ABATIBLES;PIVOTANTE;0,00%;MARICHE;2026
DIVISIONES DE AMBIENTE;PAÑO FIJO;2,70%;MARICHE;2026
DIVISIONES DE AMBIENTE;ROMANILLA;0,11%;MARICHE;2026
DIVISIONES DE AMBIENTE;ROMANILLAS;0,00%;MARICHE;2026
DIVISIONES DE AMBIENTE;CURTAIN WALL JUNTA POSITIVA Y JUNTA NEGATIVA;0,00%;MARICHE;2026
PERFILES ESTANDAR;ANGULOS Y PLETINAS;5,53%;MARICHE;2026
PERFILES ESTANDAR;TUBOS RECTANGULARES UES TES Y REMATES;6,42%;MARICHE;2026
PERFILES ESTANDAR;TUBOS CUADRADOS Y REDONDOS;2,74%;MARICHE;2026
PRODUCTOS ESTANDAR;VENTANAS ECO;0,47%;MARICHE;2026
PRODUCTOS ESTANDAR;ESPEJOS ECO;1,53%;MARICHE;2026
PRODUCTOS ESTANDAR;PUERTAS DE DUCHA ECO;0,21%;MARICHE;2026
PRODUCTOS ESTANDAR;PUERTAS ECO;0,76%;MARICHE;2026
PRODUCTOS ESTANDAR;PERSIANAS ECO;0,46%;MARICHE;2026
PRODUCTOS ESTANDAR;TOLDO ECO;0,07%;MARICHE;2026
PUERTAS EXTERIORES;PUERTA BATIENTE ENMARCADA;0,95%;MARICHE;2026
PUERTAS EXTERIORES;PUERTA BANCARIA TIPO P;0,89%;MARICHE;2026
PUERTAS EXTERIORES;VENTANA Y PUERTA SANARE;0,00%;MARICHE;2026
PUERTAS INTERIORES;SISTEMA PUERTA TODOVISION;0,17%;MARICHE;2026
PUERTAS INTERIORES;SISTEMA PUERTA PLEGABLE;0,17%;MARICHE;2026
PUERTAS INTERIORES;PLEGABLE;0,00%;MARICHE;2026
PUERTAS INTERIORES;SISTEMA PUERTA TODOVISION SUPERFICIAL;0,05%;MARICHE;2026
PUERTAS INTERIORES;SISTEMA PUERTA MINI EURO PIVOT;0,01%;MARICHE;2026
PUERTAS INTERIORES;SISTEMA PUERTA EURO PIVOT;0,00%;MARICHE;2026
BARANDAS;BARANDA BASTONES A PRESION;0,49%;MARICHE;2026
BARANDAS;BARANDA SEPARADORES;0,11%;MARICHE;2026
BARANDAS;BARANDA INOX;0,11%;MARICHE;2026
BARANDAS;BARANDA ZOCALO;0,00%;MARICHE;2026
BARANDAS;BARANDA BASTONES PERFORACION;0,00%;MARICHE;2026
